name,weights,inputs,outputs,T,C,M,P,Q,R,S,HS,WS
w1.0_i0.01_o0.0,1.0,0.01,0.0,20,2048,512,1,1,1,1,1,1
w1.0_i0.02_o0.0,1.0,0.02,0.0,20,2048,512,1,1,1,1,1,1
w1.0_i0.031_o0.0002,1.0,0.031,0.0002,20,2048,512,1,1,1,1,1,1
w1.0_i0.041_o0.0007,1.0,0.041,0.0007,20,2048,512,1,1,1,1,1,1
w1.0_i0.051_o0.0018,1.0,0.051,0.0018,20,2048,512,1,1,1,1,1,1
w1.0_i0.06_o0.0029,1.0,0.06,0.0029,20,2048,512,1,1,1,1,1,1
w1.0_i0.071_o0.0041,1.0,0.071,0.0041,20,2048,512,1,1,1,1,1,1
w1.0_i0.08_o0.0056,1.0,0.08,0.0056,20,2048,512,1,1,1,1,1,1
w1.0_i0.09_o0.0075,1.0,0.09,0.0075,20,2048,512,1,1,1,1,1,1
w1.0_i0.1_o0.0097,1.0,0.1,0.0097,20,2048,512,1,1,1,1,1,1
w1.0_i0.11_o0.011,1.0,0.11,0.011,20,2048,512,1,1,1,1,1,1
w1.0_i0.12_o0.0126,1.0,0.12,0.0126,20,2048,512,1,1,1,1,1,1
w1.0_i0.13_o0.0155,1.0,0.13,0.0155,20,2048,512,1,1,1,1,1,1
w1.0_i0.141_o0.017,1.0,0.141,0.017,20,2048,512,1,1,1,1,1,1
w1.0_i0.15_o0.0189,1.0,0.15,0.0189,20,2048,512,1,1,1,1,1,1
w1.0_i0.16_o0.0205,1.0,0.16,0.0205,20,2048,512,1,1,1,1,1,1
w1.0_i0.17_o0.0226,1.0,0.17,0.0226,20,2048,512,1,1,1,1,1,1
w1.0_i0.181_o0.0243,1.0,0.181,0.0243,20,2048,512,1,1,1,1,1,1
w1.0_i0.191_o0.0256,1.0,0.191,0.0256,20,2048,512,1,1,1,1,1,1
w1.0_i0.2_o0.0272,1.0,0.2,0.0272,20,2048,512,1,1,1,1,1,1
w1.0_i0.211_o0.0296,1.0,0.211,0.0296,20,2048,512,1,1,1,1,1,1
w1.0_i0.222_o0.0322,1.0,0.222,0.0322,20,2048,512,1,1,1,1,1,1
w1.0_i0.23_o0.0335,1.0,0.23,0.0335,20,2048,512,1,1,1,1,1,1
w1.0_i0.241_o0.0363,1.0,0.241,0.0363,20,2048,512,1,1,1,1,1,1
w1.0_i0.25_o0.0377,1.0,0.25,0.0377,20,2048,512,1,1,1,1,1,1
w1.0_i0.262_o0.0389,1.0,0.262,0.0389,20,2048,512,1,1,1,1,1,1
w1.0_i0.269_o0.0412,1.0,0.269,0.0412,20,2048,512,1,1,1,1,1,1
w1.0_i0.28_o0.0423,1.0,0.28,0.0423,20,2048,512,1,1,1,1,1,1
w1.0_i0.29_o0.0448,1.0,0.29,0.0448,20,2048,512,1,1,1,1,1,1
w1.0_i0.299_o0.0449,1.0,0.299,0.0449,20,2048,512,1,1,1,1,1,1
w1.0_i0.31_o0.0488,1.0,0.31,0.0488,20,2048,512,1,1,1,1,1,1
w1.0_i0.322_o0.0499,1.0,0.322,0.0499,20,2048,512,1,1,1,1,1,1
w1.0_i0.331_o0.0525,1.0,0.331,0.0525,20,2048,512,1,1,1,1,1,1
